DATE, EX_NUM, m, n, t, ERROR_UXY, ERROR_VXY, ERROR_DXY, MEAN_METHOD, BOOL_ALPHA_THETA, LOW_RANK_APPROX_METHOD, LRA_ITE, APF_METHOD, APF_ITE, error_min, error_max, SUBRESULTANT_FORMAT, RANK_REVEALING_METRIC 
22-Jun-2017 23:21:10,2,13,11,8,4.976402e-10,3.582404e-10,1.613136e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,Minimum Singular Values 
22-Jun-2017 23:21:11,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Norms 
22-Jun-2017 23:21:15,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:21:16,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Diagonals 
22-Jun-2017 23:21:18,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:21:21,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ,Minimum Singular Values 
22-Jun-2017 23:21:22,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:21:25,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Norms 
22-Jun-2017 23:21:26,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:21:26,3,20,21,16,6.386039e-11,1.146795e-09,1.080906e-09,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:21:28,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:21:30,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Diagonals 
22-Jun-2017 23:21:33,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:21:35,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,Minimum Singular Values 
22-Jun-2017 23:21:35,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:21:39,1,7,7,4,2.921483e-10,3.407864e-10,3.559425e-10,Geometric Mean Matlab Method,0,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
