DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 11:25:24,2,13,11,9,,None,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:25:30,3,16,17,14,2.106303e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:25:47,2,13,11,8,6.851107e-07,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:26:07,3,16,17,14,1.149070e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:26:10,2,13,11,8,9.971809e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:26:33,2,13,11,8,9.971582e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:26:45,3,16,17,14,1.149071e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:26:56,2,13,11,8,6.850998e-07,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:27:03,2,13,11,8,4.038175e-04,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:27:10,2,13,11,8,8.271277e-04,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:27:16,2,13,11,8,3.970904e-01,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:27:24,2,13,11,8,4.730883e-04,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:27:25,3,16,17,14,2.106476e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:27:33,3,16,17,14,5.607954e-08,None,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:27:40,3,16,17,14,9.224913e-07,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:27:46,2,13,11,8,6.430991e-07,None,y,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:27:48,3,16,17,14,9.224537e-07,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:27:55,3,16,17,14,5.608088e-08,None,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:28:07,2,13,11,8,9.708024e-10,None,y,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:28:28,2,13,11,8,9.707848e-10,None,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:28:34,3,16,17,14,1.555170e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:28:49,2,13,11,8,6.426163e-07,None,y,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:28:55,2,13,11,8,4.752296e-04,None,n,None,0,None,0,1.000000e-12,1.000000e-10,T 
